"instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","date"
4989,"7/31/2011",3,0,7,18,0,"Sun","no","1_clear",0.86,0.7879,0.41,0.2836,91,213,304,2011-07-31 18:00:00
4990,"7/31/2011",3,0,7,19,0,"Sun","no","1_clear",0.8,0.7576,0.55,0.3284,87,187,274,2011-07-31 19:00:00
4991,"7/31/2011",3,0,7,20,0,"Sun","no","1_clear",0.8,0.7576,0.55,0.3284,70,205,275,2011-07-31 20:00:00
4992,"7/31/2011",3,0,7,21,0,"Sun","no","1_clear",0.78,0.7424,0.59,0.2985,68,96,164,2011-07-31 21:00:00
4993,"7/31/2011",3,0,7,22,0,"Sun","no","1_clear",0.74,0.697,0.7,0.2985,25,71,96,2011-07-31 22:00:00
4994,"7/31/2011",3,0,7,23,0,"Sun","no","1_clear",0.74,0.697,0.66,0.2239,14,56,70,2011-07-31 23:00:00
4995,"8/1/2011",3,0,8,0,0,"mon","yes","1_clear",0.72,0.6818,0.7,0.2239,7,22,29,2011-08-01 00:00:00
4996,"8/1/2011",3,0,8,1,0,"mon","yes","1_clear",0.72,0.697,0.74,0.194,5,12,17,2011-08-01 01:00:00
4997,"8/1/2011",3,0,8,2,0,"mon","yes","1_clear",0.7,0.6667,0.74,0.1045,4,7,11,2011-08-01 02:00:00
4998,"8/1/2011",3,0,8,3,0,"mon","yes","1_clear",0.7,0.6667,0.79,0.1642,0,4,4,2011-08-01 03:00:00
4999,"8/1/2011",3,0,8,4,0,"mon","yes","1_clear",0.66,0.6061,0.83,0.1343,2,2,4,2011-08-01 04:00:00
5000,"8/1/2011",3,0,8,5,0,"mon","yes","1_clear",0.66,0.6061,0.83,0.1045,2,24,26,2011-08-01 05:00:00
5001,"8/1/2011",3,0,8,6,0,"mon","yes","1_clear",0.66,0.6061,0.83,0.0896,3,97,100,2011-08-01 06:00:00
5002,"8/1/2011",3,0,8,7,0,"mon","yes","1_clear",0.74,0.6818,0.62,0,24,258,282,2011-08-01 07:00:00
5003,"8/1/2011",3,0,8,8,0,"mon","yes","1_clear",0.8,0.7273,0.43,0.194,35,347,382,2011-08-01 08:00:00
5004,"8/1/2011",3,0,8,9,0,"mon","yes","1_clear",0.82,0.7424,0.41,0,27,139,166,2011-08-01 09:00:00
5005,"8/1/2011",3,0,8,10,0,"mon","yes","1_clear",0.86,0.7576,0.36,0.1642,27,70,97,2011-08-01 10:00:00
5006,"8/1/2011",3,0,8,11,0,"mon","yes","1_clear",0.88,0.7727,0.32,0.1642,53,66,119,2011-08-01 11:00:00
5007,"8/1/2011",3,0,8,12,0,"mon","yes","1_clear",0.9,0.803,0.33,0.2537,53,115,168,2011-08-01 12:00:00
5008,"8/1/2011",3,0,8,13,0,"mon","yes","1_clear",0.9,0.803,0.31,0.2985,38,112,150,2011-08-01 13:00:00
5009,"8/1/2011",3,0,8,14,0,"mon","yes","1_clear",0.92,0.8182,0.29,0.194,37,86,123,2011-08-01 14:00:00
5010,"8/1/2011",3,0,8,15,0,"mon","yes","1_clear",0.9,0.7879,0.27,0,52,77,129,2011-08-01 15:00:00
5011,"8/1/2011",3,0,8,16,0,"mon","yes","1_clear",0.9,0.7879,0.27,0,34,197,231,2011-08-01 16:00:00
5012,"8/1/2011",3,0,8,17,0,"mon","yes","1_clear",0.76,0.6818,0.45,0.2985,69,445,514,2011-08-01 17:00:00
5013,"8/1/2011",3,0,8,18,0,"mon","yes","1_clear",0.78,0.697,0.43,0.194,68,475,543,2011-08-01 18:00:00
5014,"8/1/2011",3,0,8,19,0,"mon","yes","1_clear",0.74,0.6667,0.51,0.2239,63,350,413,2011-08-01 19:00:00
5015,"8/1/2011",3,0,8,20,0,"mon","yes","1_clear",0.72,0.6818,0.62,0.2239,49,256,305,2011-08-01 20:00:00
5016,"8/1/2011",3,0,8,21,0,"mon","yes","1_clear",0.7,0.6515,0.7,0.2537,42,178,220,2011-08-01 21:00:00
5017,"8/1/2011",3,0,8,22,0,"mon","yes","1_clear",0.7,0.6515,0.7,0.0896,21,116,137,2011-08-01 22:00:00
5018,"8/1/2011",3,0,8,23,0,"mon","yes","1_clear",0.68,0.6364,0.74,0.194,14,82,96,2011-08-01 23:00:00
5019,"8/2/2011",3,0,8,0,0,"tue","yes","1_clear",0.66,0.6212,0.74,0,11,18,29,2011-08-02 00:00:00
5020,"8/2/2011",3,0,8,1,0,"tue","yes","1_clear",0.66,0.6212,0.74,0.1045,4,8,12,2011-08-02 01:00:00
5021,"8/2/2011",3,0,8,2,0,"tue","yes","1_clear",0.68,0.6364,0.69,0,2,6,8,2011-08-02 02:00:00
5022,"8/2/2011",3,0,8,3,0,"tue","yes","1_clear",0.66,0.6212,0.74,0.194,0,5,5,2011-08-02 03:00:00
5023,"8/2/2011",3,0,8,4,0,"tue","yes","1_clear",0.66,0.6212,0.74,0.1045,0,10,10,2011-08-02 04:00:00
5024,"8/2/2011",3,0,8,5,0,"tue","yes","1_clear",0.66,0.6212,0.74,0.1343,4,17,21,2011-08-02 05:00:00
5025,"8/2/2011",3,0,8,6,0,"tue","yes","1_clear",0.68,0.6364,0.69,0.1045,12,105,117,2011-08-02 06:00:00
5026,"8/2/2011",3,0,8,7,0,"tue","yes","1_clear",0.72,0.6667,0.61,0.2836,15,320,335,2011-08-02 07:00:00
5027,"8/2/2011",3,0,8,8,0,"tue","yes","1_clear",0.74,0.6818,0.58,0.2836,37,398,435,2011-08-02 08:00:00
5028,"8/2/2011",3,0,8,9,0,"tue","yes","1_clear",0.78,0.697,0.46,0.2985,31,182,213,2011-08-02 09:00:00
5029,"8/2/2011",3,0,8,10,0,"tue","yes","1_clear",0.82,0.7273,0.36,0.2985,50,90,140,2011-08-02 10:00:00
5030,"8/2/2011",3,0,8,11,0,"tue","yes","1_clear",0.84,0.7273,0.32,0.4179,32,96,128,2011-08-02 11:00:00
5031,"8/2/2011",3,0,8,12,0,"tue","yes","1_clear",0.86,0.7424,0.3,0.2836,45,112,157,2011-08-02 12:00:00
5032,"8/2/2011",3,0,8,13,0,"tue","yes","1_clear",0.86,0.7424,0.3,0.2239,50,153,203,2011-08-02 13:00:00
5033,"8/2/2011",3,0,8,14,0,"tue","yes","1_clear",0.9,0.7727,0.25,0.2836,45,114,159,2011-08-02 14:00:00
5034,"8/2/2011",3,0,8,15,0,"tue","yes","1_clear",0.9,0.7727,0.25,0.2836,48,120,168,2011-08-02 15:00:00
5035,"8/2/2011",3,0,8,16,0,"tue","yes","1_clear",0.9,0.7727,0.25,0.2836,58,216,274,2011-08-02 16:00:00
5036,"8/2/2011",3,0,8,17,0,"tue","yes","2_Mist+cloudy",0.9,0.7879,0.27,0.1343,63,493,556,2011-08-02 17:00:00
5037,"8/2/2011",3,0,8,18,0,"tue","yes","2_Mist+cloudy",0.86,0.7576,0.34,0.194,65,491,556,2011-08-02 18:00:00
5038,"8/2/2011",3,0,8,19,0,"tue","yes","2_Mist+cloudy",0.86,0.7576,0.36,0.2239,85,369,454,2011-08-02 19:00:00
5039,"8/2/2011",3,0,8,20,0,"tue","yes","2_Mist+cloudy",0.82,0.7576,0.46,0.2537,40,248,288,2011-08-02 20:00:00
5040,"8/2/2011",3,0,8,21,0,"tue","yes","1_clear",0.8,0.7424,0.52,0.2239,53,201,254,2011-08-02 21:00:00
5041,"8/2/2011",3,0,8,22,0,"tue","yes","2_Mist+cloudy",0.78,0.7424,0.59,0.1642,22,169,191,2011-08-02 22:00:00
5042,"8/2/2011",3,0,8,23,0,"tue","yes","2_Mist+cloudy",0.8,0.7424,0.49,0.1642,29,103,132,2011-08-02 23:00:00
5043,"8/3/2011",3,0,8,0,0,"wed","yes","2_Mist+cloudy",0.8,0.7424,0.49,0.1642,11,32,43,2011-08-03 00:00:00
5044,"8/3/2011",3,0,8,1,0,"wed","yes","2_Mist+cloudy",0.78,0.7121,0.52,0.1642,7,9,16,2011-08-03 01:00:00
5045,"8/3/2011",3,0,8,2,0,"wed","yes","2_Mist+cloudy",0.78,0.7121,0.49,0.1642,2,9,11,2011-08-03 02:00:00
5046,"8/3/2011",3,0,8,3,0,"wed","yes","2_Mist+cloudy",0.76,0.697,0.55,0.0896,0,4,4,2011-08-03 03:00:00
5047,"8/3/2011",3,0,8,4,0,"wed","yes","2_Mist+cloudy",0.76,0.697,0.52,0.1642,0,7,7,2011-08-03 04:00:00
5048,"8/3/2011",3,0,8,5,0,"wed","yes","2_Mist+cloudy",0.76,0.697,0.55,0.0896,2,22,24,2011-08-03 05:00:00
5049,"8/3/2011",3,0,8,6,0,"wed","yes","3_Light snow/rain",0.72,0.6818,0.66,0.4925,9,101,110,2011-08-03 06:00:00
5050,"8/3/2011",3,0,8,7,0,"wed","yes","2_Mist+cloudy",0.74,0.6667,0.51,0.2239,19,252,271,2011-08-03 07:00:00
5051,"8/3/2011",3,0,8,8,0,"wed","yes","2_Mist+cloudy",0.74,0.6667,0.51,0.1642,29,408,437,2011-08-03 08:00:00
5052,"8/3/2011",3,0,8,9,0,"wed","yes","2_Mist+cloudy",0.74,0.6818,0.55,0.194,23,172,195,2011-08-03 09:00:00
5053,"8/3/2011",3,0,8,10,0,"wed","yes","3_Light snow/rain",0.74,0.6818,0.58,0.0896,9,59,68,2011-08-03 10:00:00
5054,"8/3/2011",3,0,8,11,0,"wed","yes","2_Mist+cloudy",0.74,0.6818,0.58,0.1045,29,93,122,2011-08-03 11:00:00
5055,"8/3/2011",3,0,8,12,0,"wed","yes","3_Light snow/rain",0.76,0.697,0.55,0.1343,19,142,161,2011-08-03 12:00:00
5056,"8/3/2011",3,0,8,13,0,"wed","yes","2_Mist+cloudy",0.76,0.7121,0.58,0.2239,37,107,144,2011-08-03 13:00:00
5057,"8/3/2011",3,0,8,14,0,"wed","yes","2_Mist+cloudy",0.76,0.7121,0.58,0.2239,43,104,147,2011-08-03 14:00:00
5058,"8/3/2011",3,0,8,15,0,"wed","yes","2_Mist+cloudy",0.7,0.6667,0.79,0.1343,31,87,118,2011-08-03 15:00:00
5059,"8/3/2011",3,0,8,16,0,"wed","yes","3_Light snow/rain",0.68,0.6364,0.79,0,21,129,150,2011-08-03 16:00:00
5060,"8/3/2011",3,0,8,17,0,"wed","yes","2_Mist+cloudy",0.7,0.6667,0.79,0,47,378,425,2011-08-03 17:00:00
5061,"8/3/2011",3,0,8,18,0,"wed","yes","3_Light snow/rain",0.7,0.6667,0.84,0,49,443,492,2011-08-03 18:00:00
5062,"8/3/2011",3,0,8,19,0,"wed","yes","3_Light snow/rain",0.7,0.6667,0.84,0,51,270,321,2011-08-03 19:00:00
5063,"8/3/2011",3,0,8,20,0,"wed","yes","3_Light snow/rain",0.7,0.6667,0.84,0.1045,7,80,87,2011-08-03 20:00:00
5064,"8/3/2011",3,0,8,21,0,"wed","yes","2_Mist+cloudy",0.68,0.6364,0.89,0.1343,7,81,88,2011-08-03 21:00:00
5065,"8/3/2011",3,0,8,22,0,"wed","yes","3_Light snow/rain",0.68,0.6364,0.89,0.1045,11,66,77,2011-08-03 22:00:00
5066,"8/3/2011",3,0,8,23,0,"wed","yes","2_Mist+cloudy",0.68,0.6364,0.89,0.0896,4,52,56,2011-08-03 23:00:00
5067,"8/4/2011",3,0,8,0,0,"thu","yes","2_Mist+cloudy",0.68,0.6364,0.89,0.0896,2,15,17,2011-08-04 00:00:00
5068,"8/4/2011",3,0,8,1,0,"thu","yes","2_Mist+cloudy",0.66,0.5909,0.94,0.0896,3,14,17,2011-08-04 01:00:00
5069,"8/4/2011",3,0,8,2,0,"thu","yes","2_Mist+cloudy",0.66,0.5909,0.94,0.0896,2,5,7,2011-08-04 02:00:00
5070,"8/4/2011",3,0,8,3,0,"thu","yes","3_Light snow/rain",0.66,0.5909,0.94,0.0896,0,3,3,2011-08-04 03:00:00
5071,"8/4/2011",3,0,8,4,0,"thu","yes","2_Mist+cloudy",0.68,0.6364,0.89,0,0,7,7,2011-08-04 04:00:00
5072,"8/4/2011",3,0,8,5,0,"thu","yes","2_Mist+cloudy",0.68,0.6364,0.89,0,3,17,20,2011-08-04 05:00:00
5073,"8/4/2011",3,0,8,6,0,"thu","yes","2_Mist+cloudy",0.68,0.6364,0.89,0.2985,7,90,97,2011-08-04 06:00:00
5074,"8/4/2011",3,0,8,7,0,"thu","yes","2_Mist+cloudy",0.68,0.6364,0.89,0.2985,11,271,282,2011-08-04 07:00:00
5075,"8/4/2011",3,0,8,8,0,"thu","yes","2_Mist+cloudy",0.7,0.6515,0.82,0.3582,29,369,398,2011-08-04 08:00:00
5076,"8/4/2011",3,0,8,9,0,"thu","yes","1_clear",0.72,0.697,0.74,0.3284,25,162,187,2011-08-04 09:00:00
5077,"8/4/2011",3,0,8,10,0,"thu","yes","1_clear",0.72,0.6667,0.71,0.2985,24,89,113,2011-08-04 10:00:00
5078,"8/4/2011",3,0,8,11,0,"thu","yes","2_Mist+cloudy",0.74,0.697,0.66,0.2239,37,112,149,2011-08-04 11:00:00
5079,"8/4/2011",3,0,8,12,0,"thu","yes","2_Mist+cloudy",0.76,0.7121,0.62,0.2239,53,152,205,2011-08-04 12:00:00
5080,"8/4/2011",3,0,8,13,0,"thu","yes","1_clear",0.76,0.7121,0.58,0,63,142,205,2011-08-04 13:00:00
5081,"8/4/2011",3,0,8,14,0,"thu","yes","1_clear",0.8,0.7576,0.55,0.1642,53,114,167,2011-08-04 14:00:00
5082,"8/4/2011",3,0,8,15,0,"thu","yes","1_clear",0.8,0.7576,0.55,0.2537,50,115,165,2011-08-04 15:00:00
5083,"8/4/2011",3,0,8,16,0,"thu","yes","1_clear",0.76,0.7121,0.62,0.3284,70,220,290,2011-08-04 16:00:00
5084,"8/4/2011",3,0,8,17,0,"thu","yes","1_clear",0.76,0.7121,0.62,0.3284,91,464,555,2011-08-04 17:00:00
5085,"8/4/2011",3,0,8,18,0,"thu","yes","1_clear",0.7,0.6667,0.74,0.2985,88,435,523,2011-08-04 18:00:00
5086,"8/4/2011",3,0,8,19,0,"thu","yes","1_clear",0.7,0.6667,0.74,0.2836,65,301,366,2011-08-04 19:00:00
5087,"8/4/2011",3,0,8,20,0,"thu","yes","2_Mist+cloudy",0.7,0.6667,0.74,0.194,41,245,286,2011-08-04 20:00:00
5088,"8/4/2011",3,0,8,21,0,"thu","yes","2_Mist+cloudy",0.7,0.6667,0.74,0.194,25,186,211,2011-08-04 21:00:00
5089,"8/4/2011",3,0,8,22,0,"thu","yes","1_clear",0.68,0.6364,0.74,0.194,33,141,174,2011-08-04 22:00:00
5090,"8/4/2011",3,0,8,23,0,"thu","yes","1_clear",0.66,0.6212,0.74,0.1045,24,108,132,2011-08-04 23:00:00
5091,"8/5/2011",3,0,8,0,0,"fri","yes","1_clear",0.66,0.6212,0.74,0.1045,13,41,54,2011-08-05 00:00:00
5092,"8/5/2011",3,0,8,1,0,"fri","yes","1_clear",0.64,0.5909,0.78,0.0896,3,16,19,2011-08-05 01:00:00
5093,"8/5/2011",3,0,8,2,0,"fri","yes","1_clear",0.66,0.6212,0.69,0,5,14,19,2011-08-05 02:00:00
5094,"8/5/2011",3,0,8,3,0,"fri","yes","1_clear",0.64,0.5909,0.78,0.0896,0,6,6,2011-08-05 03:00:00
5095,"8/5/2011",3,0,8,4,0,"fri","yes","1_clear",0.64,0.5909,0.78,0.1343,1,6,7,2011-08-05 04:00:00
5096,"8/5/2011",3,0,8,5,0,"fri","yes","1_clear",0.64,0.5909,0.78,0.0896,0,16,16,2011-08-05 05:00:00
5097,"8/5/2011",3,0,8,6,0,"fri","yes","1_clear",0.64,0.5909,0.78,0.1343,7,94,101,2011-08-05 06:00:00
5098,"8/5/2011",3,0,8,7,0,"fri","yes","1_clear",0.66,0.6061,0.78,0.1343,23,247,270,2011-08-05 07:00:00
5099,"8/5/2011",3,0,8,8,0,"fri","yes","1_clear",0.7,0.6515,0.65,0.2239,39,415,454,2011-08-05 08:00:00
5100,"8/5/2011",3,0,8,9,0,"fri","yes","1_clear",0.72,0.6667,0.58,0.1045,43,183,226,2011-08-05 09:00:00
5101,"8/5/2011",3,0,8,10,0,"fri","yes","1_clear",0.74,0.6818,0.55,0.1343,50,113,163,2011-08-05 10:00:00
5102,"8/5/2011",3,0,8,11,0,"fri","yes","2_Mist+cloudy",0.76,0.697,0.52,0.2537,44,103,147,2011-08-05 11:00:00
5103,"8/5/2011",3,0,8,12,0,"fri","yes","1_clear",0.76,0.697,0.52,0.2537,57,159,216,2011-08-05 12:00:00
5104,"8/5/2011",3,0,8,13,0,"fri","yes","1_clear",0.78,0.7121,0.52,0.2537,40,164,204,2011-08-05 13:00:00
5105,"8/5/2011",3,0,8,14,0,"fri","yes","2_Mist+cloudy",0.78,0.7121,0.52,0.2537,81,164,245,2011-08-05 14:00:00
5106,"8/5/2011",3,0,8,15,0,"fri","yes","1_clear",0.76,0.697,0.55,0.2537,50,160,210,2011-08-05 15:00:00
5107,"8/5/2011",3,0,8,16,0,"fri","yes","1_clear",0.8,0.7424,0.49,0.2537,76,254,330,2011-08-05 16:00:00
5108,"8/5/2011",3,0,8,17,0,"fri","yes","1_clear",0.78,0.7121,0.49,0.2985,84,466,550,2011-08-05 17:00:00
5109,"8/5/2011",3,0,8,18,0,"fri","yes","1_clear",0.76,0.697,0.52,0.2537,105,361,466,2011-08-05 18:00:00
5110,"8/5/2011",3,0,8,19,0,"fri","yes","1_clear",0.74,0.6818,0.55,0.2537,90,282,372,2011-08-05 19:00:00
5111,"8/5/2011",3,0,8,20,0,"fri","yes","1_clear",0.72,0.6667,0.58,0.2239,70,221,291,2011-08-05 20:00:00
5112,"8/5/2011",3,0,8,21,0,"fri","yes","1_clear",0.7,0.6515,0.65,0.194,54,119,173,2011-08-05 21:00:00
5113,"8/5/2011",3,0,8,22,0,"fri","yes","1_clear",0.7,0.6515,0.65,0.2239,51,137,188,2011-08-05 22:00:00
5114,"8/5/2011",3,0,8,23,0,"fri","yes","1_clear",0.68,0.6364,0.69,0.2239,37,102,139,2011-08-05 23:00:00
5115,"8/6/2011",3,0,8,0,0,"sat","no","1_clear",0.66,0.6061,0.78,0.194,29,104,133,2011-08-06 00:00:00
5116,"8/6/2011",3,0,8,1,0,"sat","no","1_clear",0.66,0.6061,0.78,0.1642,17,50,67,2011-08-06 01:00:00
5117,"8/6/2011",3,0,8,2,0,"sat","no","1_clear",0.66,0.6061,0.78,0.2239,14,39,53,2011-08-06 02:00:00
5118,"8/6/2011",3,0,8,3,0,"sat","no","2_Mist+cloudy",0.66,0.6061,0.78,0.1642,14,28,42,2011-08-06 03:00:00
5119,"8/6/2011",3,0,8,4,0,"sat","no","2_Mist+cloudy",0.66,0.6061,0.83,0.1642,5,5,10,2011-08-06 04:00:00
5120,"8/6/2011",3,0,8,5,0,"sat","no","1_clear",0.64,0.5758,0.89,0.0896,2,4,6,2011-08-06 05:00:00
5121,"8/6/2011",3,0,8,6,0,"sat","no","1_clear",0.64,0.5758,0.89,0.1045,5,22,27,2011-08-06 06:00:00
5122,"8/6/2011",3,0,8,7,0,"sat","no","1_clear",0.68,0.6364,0.83,0.1642,14,49,63,2011-08-06 07:00:00
5123,"8/6/2011",3,0,8,8,0,"sat","no","1_clear",0.68,0.6364,0.83,0.1642,27,94,121,2011-08-06 08:00:00
5124,"8/6/2011",3,0,8,9,0,"sat","no","1_clear",0.74,0.697,0.7,0.2239,60,155,215,2011-08-06 09:00:00
5125,"8/6/2011",3,0,8,10,0,"sat","no","2_Mist+cloudy",0.74,0.697,0.7,0.2836,91,199,290,2011-08-06 10:00:00
5126,"8/6/2011",3,0,8,11,0,"sat","no","1_clear",0.78,0.7424,0.62,0.2239,138,211,349,2011-08-06 11:00:00
5127,"8/6/2011",3,0,8,12,0,"sat","no","1_clear",0.8,0.7576,0.55,0.2239,130,252,382,2011-08-06 12:00:00
5128,"8/6/2011",3,0,8,13,0,"sat","no","2_Mist+cloudy",0.8,0.7727,0.59,0.3284,176,265,441,2011-08-06 13:00:00
5129,"8/6/2011",3,0,8,14,0,"sat","no","1_clear",0.82,0.7727,0.52,0.2537,176,204,380,2011-08-06 14:00:00
5130,"8/6/2011",3,0,8,15,0,"sat","no","2_Mist+cloudy",0.84,0.803,0.53,0.2537,130,232,362,2011-08-06 15:00:00
5131,"8/6/2011",3,0,8,16,0,"sat","no","3_Light snow/rain",0.74,0.7121,0.79,0.1642,155,188,343,2011-08-06 16:00:00
5132,"8/6/2011",3,0,8,17,0,"sat","no","3_Light snow/rain",0.74,0.7121,0.79,0.1642,61,88,149,2011-08-06 17:00:00
5133,"8/6/2011",3,0,8,18,0,"sat","no","2_Mist+cloudy",0.72,0.697,0.79,0.4478,81,130,211,2011-08-06 18:00:00
5134,"8/6/2011",3,0,8,19,0,"sat","no","3_Light snow/rain",0.72,0.7121,0.84,0.2537,57,114,171,2011-08-06 19:00:00
5135,"8/6/2011",3,0,8,20,0,"sat","no","3_Light snow/rain",0.72,0.697,0.79,0.2836,58,79,137,2011-08-06 20:00:00
5136,"8/6/2011",3,0,8,21,0,"sat","no","2_Mist+cloudy",0.7,0.6667,0.84,0.3284,28,86,114,2011-08-06 21:00:00
5137,"8/6/2011",3,0,8,22,0,"sat","no","2_Mist+cloudy",0.7,0.6667,0.84,0.3284,24,96,120,2011-08-06 22:00:00
5138,"8/6/2011",3,0,8,23,0,"sat","no","3_Light snow/rain",0.7,0.6667,0.84,0.2836,29,79,108,2011-08-06 23:00:00
5139,"8/7/2011",3,0,8,0,0,"Sun","no","2_Mist+cloudy",0.7,0.6667,0.84,0.2836,14,66,80,2011-08-07 00:00:00
5140,"8/7/2011",3,0,8,1,0,"Sun","no","2_Mist+cloudy",0.7,0.6667,0.84,0.2537,10,63,73,2011-08-07 01:00:00
5141,"8/7/2011",3,0,8,2,0,"Sun","no","2_Mist+cloudy",0.7,0.6667,0.84,0.2239,18,48,66,2011-08-07 02:00:00
5142,"8/7/2011",3,0,8,3,0,"Sun","no","2_Mist+cloudy",0.7,0.6667,0.84,0.1343,9,23,32,2011-08-07 03:00:00
5143,"8/7/2011",3,0,8,4,0,"Sun","no","1_clear",0.7,0.6667,0.84,0.1343,1,5,6,2011-08-07 04:00:00
5144,"8/7/2011",3,0,8,5,0,"Sun","no","1_clear",0.7,0.6667,0.89,0.194,1,4,5,2011-08-07 05:00:00
5145,"8/7/2011",3,0,8,6,0,"Sun","no","1_clear",0.7,0.6667,0.89,0.1642,3,10,13,2011-08-07 06:00:00
5146,"8/7/2011",3,0,8,7,0,"Sun","no","1_clear",0.7,0.6667,0.84,0.194,11,28,39,2011-08-07 07:00:00
5147,"8/7/2011",3,0,8,8,0,"Sun","no","1_clear",0.72,0.697,0.79,0.194,23,66,89,2011-08-07 08:00:00
5148,"8/7/2011",3,0,8,9,0,"Sun","no","1_clear",0.76,0.7424,0.75,0.1045,82,102,184,2011-08-07 09:00:00
5149,"8/7/2011",3,0,8,10,0,"Sun","no","1_clear",0.8,0.803,0.66,0.1343,88,178,266,2011-08-07 10:00:00
5150,"8/7/2011",3,0,8,11,0,"Sun","no","1_clear",0.82,0.8333,0.63,0,113,156,269,2011-08-07 11:00:00
5151,"8/7/2011",3,0,8,12,0,"Sun","no","1_clear",0.9,0.8485,0.42,0.2985,161,209,370,2011-08-07 12:00:00
5152,"8/7/2011",3,0,8,13,0,"Sun","no","1_clear",0.9,0.8485,0.42,0.2985,118,206,324,2011-08-07 13:00:00
5153,"8/7/2011",3,0,8,14,0,"Sun","no","1_clear",0.86,0.803,0.47,0.194,130,192,322,2011-08-07 14:00:00
5154,"8/7/2011",3,0,8,15,0,"Sun","no","3_Light snow/rain",0.72,0.697,0.74,0.2985,118,208,326,2011-08-07 15:00:00
5155,"8/7/2011",3,0,8,16,0,"Sun","no","3_Light snow/rain",0.72,0.697,0.74,0.2985,74,119,193,2011-08-07 16:00:00
5156,"8/7/2011",3,0,8,17,0,"Sun","no","3_Light snow/rain",0.74,0.7121,0.74,0.6418,63,131,194,2011-08-07 17:00:00
5157,"8/7/2011",3,0,8,18,0,"Sun","no","1_clear",0.72,0.697,0.74,0.0896,74,155,229,2011-08-07 18:00:00
5158,"8/7/2011",3,0,8,19,0,"Sun","no","1_clear",0.72,0.697,0.79,0.1642,68,160,228,2011-08-07 19:00:00
5159,"8/7/2011",3,0,8,20,0,"Sun","no","1_clear",0.72,0.7121,0.84,0.1343,50,133,183,2011-08-07 20:00:00
5160,"8/7/2011",3,0,8,21,0,"Sun","no","1_clear",0.72,0.7121,0.84,0.1045,36,100,136,2011-08-07 21:00:00
5161,"8/7/2011",3,0,8,22,0,"Sun","no","1_clear",0.7,0.6667,0.89,0.194,21,82,103,2011-08-07 22:00:00
5162,"8/7/2011",3,0,8,23,0,"Sun","no","1_clear",0.7,0.6667,0.79,0.1045,12,43,55,2011-08-07 23:00:00
5163,"8/8/2011",3,0,8,0,0,"mon","yes","1_clear",0.7,0.6667,0.79,0.1045,13,17,30,2011-08-08 00:00:00
5164,"8/8/2011",3,0,8,1,0,"mon","yes","1_clear",0.68,0.6364,0.83,0.1343,4,8,12,2011-08-08 01:00:00
5165,"8/8/2011",3,0,8,2,0,"mon","yes","1_clear",0.66,0.5909,0.89,0,4,3,7,2011-08-08 02:00:00
5166,"8/8/2011",3,0,8,3,0,"mon","yes","1_clear",0.66,0.5909,0.89,0,1,0,1,2011-08-08 03:00:00
5167,"8/8/2011",3,0,8,4,0,"mon","yes","1_clear",0.66,0.5909,0.89,0.1045,2,8,10,2011-08-08 04:00:00
5168,"8/8/2011",3,0,8,5,0,"mon","yes","1_clear",0.7,0.6667,0.79,0.0896,1,14,15,2011-08-08 05:00:00
5169,"8/8/2011",3,0,8,6,0,"mon","yes","1_clear",0.7,0.6515,0.65,0.2836,8,87,95,2011-08-08 06:00:00
5170,"8/8/2011",3,0,8,7,0,"mon","yes","1_clear",0.72,0.6818,0.62,0.2985,18,249,267,2011-08-08 07:00:00
5171,"8/8/2011",3,0,8,8,0,"mon","yes","1_clear",0.74,0.6818,0.58,0.3284,29,320,349,2011-08-08 08:00:00
5172,"8/8/2011",3,0,8,9,0,"mon","yes","1_clear",0.76,0.697,0.55,0.3881,37,146,183,2011-08-08 09:00:00
5173,"8/8/2011",3,0,8,10,0,"mon","yes","1_clear",0.8,0.7424,0.52,0.3881,62,62,124,2011-08-08 10:00:00
5174,"8/8/2011",3,0,8,11,0,"mon","yes","1_clear",0.82,0.7424,0.48,0.3582,90,89,179,2011-08-08 11:00:00
5175,"8/8/2011",3,0,8,12,0,"mon","yes","1_clear",0.82,0.7576,0.46,0.2537,48,134,182,2011-08-08 12:00:00
5176,"8/8/2011",3,0,8,13,0,"mon","yes","1_clear",0.84,0.7576,0.44,0.2985,43,108,151,2011-08-08 13:00:00
5177,"8/8/2011",3,0,8,14,0,"mon","yes","1_clear",0.82,0.7424,0.43,0.2985,41,109,150,2011-08-08 14:00:00
5178,"8/8/2011",3,0,8,15,0,"mon","yes","1_clear",0.84,0.7576,0.41,0.2985,40,86,126,2011-08-08 15:00:00
5179,"8/8/2011",3,0,8,16,0,"mon","yes","1_clear",0.86,0.7727,0.39,0.2836,64,218,282,2011-08-08 16:00:00
5180,"8/8/2011",3,0,8,17,0,"mon","yes","1_clear",0.86,0.7727,0.39,0.1642,67,460,527,2011-08-08 17:00:00
5181,"8/8/2011",3,0,8,18,0,"mon","yes","1_clear",0.84,0.7576,0.41,0.1343,64,465,529,2011-08-08 18:00:00
5182,"8/8/2011",3,0,8,19,0,"mon","yes","1_clear",0.82,0.7424,0.43,0.1045,64,352,416,2011-08-08 19:00:00
5183,"8/8/2011",3,0,8,20,0,"mon","yes","1_clear",0.8,0.7576,0.55,0,71,215,286,2011-08-08 20:00:00
